,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
Core i3-13100TE,35,4,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i3-13100te.c3075,
Core i5-13400,65,10,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i5-13400.c2994,
Core i5-13400E,65,10,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i5-13400e.c3079,
Core i5-13400F,65,10,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i5-13400f.c2995,
Core i5-13490F,65,10,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i5-13490f.c3097,
Core i5-13500,65,14,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i5-13500.c2851,
Core i5-13500E,65,14,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i5-13500e.c3078,
Core i5-13500TE,35,14,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i5-13500te.c3077,
Core i7-13700,65,16,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i7-13700.c2957,
Core i7-13700E,65,16,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i7-13700e.c3081,
Core i7-13700F,65,16,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i7-13700f.c2996,
Core i7-13700TE,35,16,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i7-13700te.c3080,
Core i7-13790F,65,16,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i7-13790f.c3096,
Core i9-13900,65,24,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i9-13900.c2854,
Core i9-13900E,65,24,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i9-13900e.c3082,
Core i9-13900F,65,24,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i9-13900f.c2997,
Core i9-13900KS,150,24,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i9-13900ks.c2956,
Core i9-13900TE,35,24,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i9-13900te.c3083,
Xeon Bronze 3408U,125,8,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-bronze-3408u.c3170,
Xeon Gold 5411N,165,28,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5411n.c3152,
Xeon Gold 5412U,185,24,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5412u.c3153,
